UserID,Country,Language,Gender,RegDate,AgeRDATE,Fstcad,Fstpd,Pcsumstk,Pcsumwin,Pcsumbet,Pcfstdate,Pclstdate,Pcsumday,Pcintday,Pcnet,Pcab,Pcdayspc,TOPsmstk,TOPpcnet,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,Segment_Name
1325444,756,3,1,2/1/2005,39,11/25/2005,2/1/2005,2922.0,2622.0,435,11/25/2005,2007-02-04,6,437,300.0,6.717241379,1.372997712,0,0,24,6,2922.0,96.80851063829788,1.1450381679389312,0.08496503789008886,4,New Casual Players
1325453,276,2,1,2/1/2005,26,8/26/2005,2/1/2005,4378.5,4133.94,70,8/26/2005,2007-02-12,17,536,244.56,62.55,3.171641791,0,0,16,17,4378.5,97.87234042553192,3.2442748091603053,0.1273167071874586,4,New Casual Players
1325465,208,11,1,2/1/2005,22,2/7/2005,2/4/2005,32078.23,31488.57,887,2/7/2005,2005-02-25,8,19,589.66,36.16485908,42.10526316,0,0,733,8,32078.23,2.5265957446808507,1.5267175572519083,0.9327611318949299,0,Low Value Dormant
1325492,40,2,1,2/1/2005,49,2/1/2005,2/1/2005,43533.8848,38956.6297,1397,2/1/2005,2006-07-06,68,521,4577.2551,31.16240859,13.05182342,0,1,237,68,43533.8848,68.4840425531915,12.977099236641221,1.265865219553307,1,Recent Low Spenders
1325527,300,8,0,2/1/2005,32,2/4/2005,2/4/2005,1671.25,1419.25,392,2/4/2005,2005-03-24,5,49,252.0,4.263392857,10.20408163,0,0,706,5,1671.25,6.117021276595745,0.9541984732824428,0.048596105261400076,0,Low Value Dormant
1325590,724,4,1,2/1/2005,30,9/9/2005,9/9/2005,261773.19,252995.19,475,9/9/2005,2007-01-30,63,509,8778.0,551.1014526,12.37721022,1,1,29,63,261773.19,96.1436170212766,12.022900763358779,7.611762151594603,4,New Casual Players
1325633,276,2,1,2/1/2005,62,8/4/2006,2/1/2005,1040.87,1142.94,2003,8/4/2006,2006-09-04,9,32,-102.07,0.519655517,28.125,0,0,177,9,1040.87,76.4627659574468,1.717557251908397,0.030266105061141954,1,Recent Low Spenders
1325647,208,11,1,2/1/2005,18,2/1/2005,2/1/2005,496.5,202.0,76,2/1/2005,2006-05-10,4,464,294.5,6.532894737,0.862068966,0,0,294,4,496.5,60.90425531914894,0.7633587786259541,0.014437077793439125,1,Recent Low Spenders
1325655,724,4,1,2/1/2005,19,3/5/2005,2/17/2005,2017.0,1845.9,199,3/5/2005,2005-12-23,6,294,171.1,10.13567839,2.040816327,0,0,432,6,2017.0,42.5531914893617,1.1450381679389312,0.058649719857737585,2,Inactive Casual
1325664,40,2,1,2/1/2005,28,2/1/2005,2/1/2005,990.0529,790.26,79,2/1/2005,2005-04-14,22,73,199.7929,12.53231519,30.1369863,0,0,685,22,990.0529,8.909574468085106,4.198473282442748,0.02878846069873113,0,Low Value Dormant
1325671,724,4,1,2/1/2005,34,2/1/2005,2/1/2005,8125.75,7798.75,245,2/1/2005,2006-04-27,4,451,327.0,33.16632653,0.88691796,0,0,307,4,8125.75,59.17553191489362,0.7633587786259541,0.23627811657610867,1,Recent Low Spenders
1325682,300,8,1,2/1/2005,33,2/2/2005,2/1/2005,1217027.0,1205636.5,22596,2/2/2005,2006-04-15,82,438,11390.5,53.86028501,18.72146119,1,1,319,82,1217027.0,57.579787234042556,15.648854961832063,35.38834536901478,1,Recent Low Spenders
1325725,792,7,1,2/1/2005,24,6/17/2006,2/2/2005,4052.53,3934.03,3354,6/17/2006,2006-12-02,23,169,118.5,1.20826774,13.60946746,0,0,88,23,4052.53,88.29787234042553,4.3893129770992365,0.11783824948690001,4,New Casual Players
1325740,276,2,1,2/1/2005,38,2/15/2005,2/4/2005,24619.98,23399.98,1560,2/15/2005,2006-08-18,49,550,1220.0,15.78203846,8.909090909,0,0,194,49,24619.98,74.20212765957447,9.351145038167939,0.715892379723898,1,Recent Low Spenders
1325743,442,2,1,2/1/2005,35,2/2/2005,2/1/2005,49881.25,49227.75,6369,2/2/2005,2006-06-24,23,508,653.5,7.831880986,4.527559055,0,0,249,23,49881.25,66.88829787234043,4.3893129770992365,1.4504319973494166,1,Recent Low Spenders
1325755,276,2,1,2/1/2005,25,10/21/2005,2/1/2005,115.0,95.5,84,10/21/2005,2005-11-13,4,24,19.5,1.369047619,16.66666667,0,0,472,4,115.0,37.234042553191486,0.7633587786259541,0.003343935440575024,2,Inactive Casual
1325773,300,8,1,2/1/2005,39,2/9/2005,2/1/2005,1268.0,1259.5,646,2/9/2005,2005-05-04,17,85,8.5,1.962848297,20.0,0,0,665,17,1268.0,11.569148936170212,3.2442748091603053,0.036870522944775046,0,Low Value Dormant
